tau,S,P
0,1,0
0.1,0.991135,0
0.2,0.978167,0.00508957
0.3,0.969597,0.00090095
0.4,0.962274,0.0125624
0.5,0.940622,0.0332758
0.6,0.947597,0.0258241
0.7,0.942115,0.030835
0.8,0.937546,0.0340276
0.9,0.921977,0.0478448
1,0.916938,0.052903
1.1,0.923811,0.042841
1.2,0.914912,0.0526964
1.3,0.914227,0.0537532
1.4,0.897229,0.069243
1.5,0.880263,0.0865164
1.6,0.875339,0.09175164
1.7,0.865214,0.103904
1.8,0.86109,0.107049
1.9,0.850896,0.116188
2,0.836073,0.13146
2.1,0.827316,0.14056
2.2,0.829303,0.138781
2.3,0.824566,0.143762
2.4,0.815073,0.155299
2.5,0.815267,0.156241
2.6,0.818674,0.153353
2.7,0.815605,0.155493
2.8,0.811323,0.160791
2.9,0.812172,0.159868
3,0.808896,0.161579
3.1,0.81563,0.15441
3.2,0.805326,0.165605
3.3,0.798435,0.173478
3.4,0.801687,0.17204
3.5,0.798643,0.17552
3.6,0.799899,0.173577
3.7,0.791926,0.182051
3.8,0.785409,0.189395
3.9,0.776927,0.195615
4,0.767597,0.203163
4.1,0.763668,0.206065
4.2,0.768497,0.203616
4.3,0.776805,0.195907
4.4,0.784649,0.186548
4.5,0.778451,0.193665
4.6,0.778261,0.194098
4.7,0.764169,0.207415
4.8,0.766553,0.206726
4.9,0.76415,0.208834
5,0.766059,0.208064
5.1,0.744908,0.228571
5.2,0.736168,0.236291
5.3,0.72282,0.248562
5.4,0.723162,0.247157
5.5,0.72125,0.248943
5.6,0.7174238,0.253618
5.7,0.711003,0.260018
5.8,0.709896,0.260893
5.9,0.69931,0.271358
6,0.701433,0.270389
6.1,0.703488,0.267892
6.2,0.69401,0.277772
6.3,0.705795,0.266647
6.4,0.699965,0.274349
6.5,0.699582,0.276331
6.6,0.698857,0.278063
6.7,0.689582,0.285651
6.8,0.701988,0.273626
6.9,0.681645,0.291903
7,0.678298,0.294509
7.1,0.67817,0.294609
7.2,0.670817,0.302217
7.3,0.680138,0.292947
7.4,0.681309,0.290783
7.5,0.675823,0.296842
7.6,0.669703,0.303238
7.7,0.695852,0.278914
7.8,0.666089,0.308107
7.9,0.654809,0.320721
